Grain,Date,Manager,BeerProduction,YearMean,YearMedian,IsBeerProductionGreaterThanYearMean
grain,1992/01/01,"田中 孝",3459,4199.75,4230.50,"no"
grain,1992/02/01,"田中 孝",3458,4199.75,4230.50,"no"
grain,1992/03/01,"田中 孝",4002,4199.75,4230.50,"no"
grain,1992/04/01,"田中 孝",4564,4199.75,4230.50,"yes"
grain,1992/05/01,"田中 孝",4221,4199.75,4230.50,"yes"
grain,1992/06/01,"田中 孝",4529,4199.75,4230.50,"yes"
grain,1992/07/01,"田中 孝",4466,4199.75,4230.50,"yes"
grain,1992/08/01,"坂本 隆之",4137,4199.75,4230.50,"no"
grain,1992/09/01,"坂本 隆之",4126,4199.75,4230.50,"no"
grain,1992/10/01,"坂本 隆之",4259,4199.75,4230.50,"yes"
grain,1992/11/01,"坂本 隆之",4240,4199.75,4230.50,"yes"
grain,1992/12/01,"坂本 隆之",4936,4199.75,4230.50,"yes"
grain,1993/01/01,"坂本 隆之",3031,4235.08,4370.50,"no"
grain,1993/02/01,"井上 雅博",3261,4235.08,4370.50,"no"
grain,1993/03/01,"井上 雅博",4160,4235.08,4370.50,"no"
grain,1993/04/01,"井上 雅博",4377,4235.08,4370.50,"yes"
grain,1993/05/01,"井上 雅博",4307,4235.08,4370.50,"yes"
grain,1993/06/01,"井上 雅博",4696,4235.08,4370.50,"yes"
grain,1993/07/01,"井上 雅博",4458,4235.08,4370.50,"yes"
grain,1993/08/01,"井上 雅博",4457,4235.08,4370.50,"yes"
grain,1993/09/01,"井上 雅博",4364,4235.08,4370.50,"yes"
grain,1993/10/01,"井上 雅博",4236,4235.08,4370.50,"yes"
grain,1993/11/01,"井上 雅博",4500,4235.08,4370.50,"yes"
grain,1993/12/01,"井上 雅博",4974,4235.08,4370.50,"yes"
grain,1994/01/01,"田中 政雄",3075,4335.08,4408.50,"no"
grain,1994/02/01,"田中 政雄",3377,4335.08,4408.50,"no"
grain,1994/03/01,"田中 政雄",4443,4335.08,4408.50,"yes"
grain,1994/04/01,"田中 政雄",4261,4335.08,4408.50,"no"
grain,1994/05/01,"田中 政雄",4460,4335.08,4408.50,"yes"
grain,1994/06/01,"田中 政雄",4985,4335.08,4408.50,"yes"
grain,1994/07/01,"田中 政雄",4324,4335.08,4408.50,"no"
grain,1994/08/01,"田中 政雄",4719,4335.08,4408.50,"yes"
grain,1994/09/01,"田中 政雄",4374,4335.08,4408.50,"yes"
grain,1994/10/01,"田中 政雄",4248,4335.08,4408.50,"no"
grain,1994/11/01,"田中 政雄",4784,4335.08,4408.50,"yes"
grain,1994/12/01,"田中 政雄",4971,4335.08,4408.50,"yes"
grain,1995/01/01,"田中 政雄",3370,4374.58,4411.50,"no"
grain,1995/02/01,"田中 政雄",3484,4374.58,4411.50,"no"
grain,1995/03/01,"田中 政雄",4269,4374.58,4411.50,"no"
grain,1995/04/01,"田中 政雄",3994,4374.58,4411.50,"no"
grain,1995/05/01,"田中 政雄",4715,4374.58,4411.50,"yes"
grain,1995/06/01,"田中 政雄",4974,4374.58,4411.50,"yes"
grain,1995/07/01,"田中 政雄",4223,4374.58,4411.50,"no"
grain,1995/08/01,"田中 政雄",5000,4374.58,4411.50,"yes"
grain,1995/09/01,"田中 政雄",4235,4374.58,4411.50,"no"
grain,1995/10/01,"田中 政雄",4554,4374.58,4411.50,"yes"
grain,1995/11/01,"田中 政雄",4851,4374.58,4411.50,"yes"
grain,1995/12/01,"田中 政雄",4826,4374.58,4411.50,"yes"
grain,1996/01/01,"田中 政雄",3699,4662.08,4843.00,"no"
grain,1996/02/01,"田中 政雄",3983,4662.08,4843.00,"no"
grain,1996/03/01,"田中 政雄",4262,4662.08,4843.00,"no"
grain,1996/04/01,"田中 政雄",4619,4662.08,4843.00,"no"
grain,1996/05/01,"田中 政雄",5219,4662.08,4843.00,"yes"
grain,1996/06/01,"田中 政雄",4836,4662.08,4843.00,"yes"
grain,1996/07/01,"田中 政雄",4941,4662.08,4843.00,"yes"
grain,1996/08/01,"田中 政雄",5062,4662.08,4843.00,"yes"
grain,1996/09/01,"田中 政雄",4365,4662.08,4843.00,"no"
grain,1996/10/01,"田中 政雄",5012,4662.08,4843.00,"yes"
grain,1996/11/01,"田中 政雄",4850,4662.08,4843.00,"yes"
grain,1996/12/01,"田中 政雄",5097,4662.08,4843.00,"yes"
grain,1997/01/01,"田中 政雄",3758,4859.33,5002.00,"no"
grain,1997/02/01,"田中 政雄",3825,4859.33,5002.00,"no"
grain,1997/03/01,"田中 政雄",4454,4859.33,5002.00,"no"
grain,1997/04/01,"田中 政雄",4635,4859.33,5002.00,"no"
grain,1997/05/01,"田中 政雄",5210,4859.33,5002.00,"yes"
grain,1997/06/01,"田中 政雄",5057,4859.33,5002.00,"yes"
grain,1997/07/01,"田中 政雄",5231,4859.33,5002.00,"yes"
grain,1997/08/01,"田中 政雄",5034,4859.33,5002.00,"yes"
grain,1997/09/01,"田中 政雄",4970,4859.33,5002.00,"yes"
grain,1997/10/01,"田中 政雄",5342,4859.33,5002.00,"yes"
grain,1997/11/01,"田中 政雄",4831,4859.33,5002.00,"no"
grain,1997/12/01,"田中 政雄",5965,4859.33,5002.00,"yes"
grain,1998/01/01,"田中 政雄",3796,5146.58,5291.50,"no"
grain,1998/02/01,"田中 政雄",4019,5146.58,5291.50,"no"
grain,1998/03/01,"田中 政雄",4898,5146.58,5291.50,"no"
grain,1998/04/01,"田中 政雄",5090,5146.58,5291.50,"no"
grain,1998/05/01,"田中 政雄",5237,5146.58,5291.50,"yes"
grain,1998/06/01,"田中 政雄",5447,5146.58,5291.50,"yes"
grain,1998/07/01,"田中 政雄",5435,5146.58,5291.50,"yes"
grain,1998/08/01,"田中 政雄",5107,5146.58,5291.50,"no"
grain,1998/09/01,"田中 政雄",5515,5146.58,5291.50,"yes"
grain,1998/10/01,"田中 政雄",5583,5146.58,5291.50,"yes"
grain,1998/11/01,"田中 政雄",5346,5146.58,5291.50,"yes"
grain,1998/12/01,"田中 政雄",6286,5146.58,5291.50,"yes"
grain,1999/01/01,"田中 政雄",4032,5610.83,5724.50,"no"
grain,1999/02/01,"田中 政雄",4435,5610.83,5724.50,"no"
grain,1999/03/01,"田中 政雄",5479,5610.83,5724.50,"no"
grain,1999/04/01,"田中 政雄",5483,5610.83,5724.50,"no"
grain,1999/05/01,"田中 政雄",5587,5610.83,5724.50,"no"
grain,1999/06/01,"田中 政雄",6176,5610.83,5724.50,"yes"
grain,1999/07/01,"田中 政雄",5621,5610.83,5724.50,"yes"
grain,1999/08/01,"田中 政雄",5889,5610.83,5724.50,"yes"
grain,1999/09/01,"田中 政雄",5828,5610.83,5724.50,"yes"
